カード名,枚数,価値,採用デッキ%
CSD02b-001,2.25,0.75,75.00%
CSD02b-003,2.25,0.75,75.00%
CSD02b-004,2.25,0.75,75.00%
ECP02-001,2.25,0.75,75.00%
ECP02-003,2.25,0.75,75.00%
ECP02-012,2.25,0.75,75.00%
ECP02-016,2.25,0.75,75.00%
ECP02-026,2.25,0.75,75.00%
ECP02-047,2.25,0.75,75.00%
ECP02-050,2.25,0.75,75.00%
ECP02-052,2.25,0.75,75.00%
BP01-135,1.50,0.5,50.00%
CP02-023,1.50,0.5,50.00%
CSD02c-002,0.75,0.25,25.00%
CSD02c-003,0.75,0.25,25.00%
CSD02c-004,0.75,0.25,25.00%
ECP02-005,0.75,0.25,25.00%
ECP02-013,0.75,0.25,25.00%
ECP02-017,0.75,0.25,25.00%
ECP02-027,0.75,0.25,25.00%
ECP02-029,0.75,0.25,25.00%
ECP02-037,0.75,0.25,25.00%
ECP02-042,0.75,0.25,25.00%
ECP02-063,0.75,0.25,25.00%
ECP02-070,0.75,0.25,25.00%
PR-439,0.75,0.25,25.00%
CP02-069,0.50,0.166667,50.00%
CP02-031,0.50,0.166667,25.00%
CSD02b-002,0.50,0.166667,25.00%
ECP02-015,0.50,0.166667,25.00%
CP02-041,0.25,0.083333,25.00%
CP02-053,0.25,0.083333,25.00%
