아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,CSD02c-002,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,CSD02c-003,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,CSD02c-004,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-005,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-013,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-017,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-027,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-029,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-042,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-063,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,ECP02-070,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,PR-439,3.00,1.0,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,CP02-031,2.00,0.666667,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,CP02-041,1.00,0.333333,100.00%
2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央,CP02-053,1.00,0.333333,100.00%
