カード名,枚数,価値,採用デッキ%
BP14-036,1.25,0.416667,50.00%
BP15-113,1.12,0.375,37.50%
BP05-044,0.75,0.25,25.00%
BP07-035,0.75,0.25,25.00%
BP07-041,0.75,0.25,25.00%
BP07-048,0.75,0.25,25.00%
BP07-116,0.75,0.25,25.00%
BP10-043,0.75,0.25,25.00%
BP10-047,0.75,0.25,25.00%
BP12-035,0.75,0.25,25.00%
BP12-049,0.75,0.25,25.00%
BP14-042,0.75,0.25,25.00%
BP14-043,0.75,0.25,25.00%
BP14-049,0.75,0.25,25.00%
BP16-040,0.75,0.25,25.00%
BP17-039,0.75,0.25,25.00%
BP17-040,0.75,0.25,25.00%
BP17-041,0.75,0.25,25.00%
BP17-044,0.75,0.25,25.00%
BP17-048,0.75,0.25,25.00%
BP17-051,0.75,0.25,25.00%
BP18-039,0.75,0.25,25.00%
BP18-041,0.75,0.25,25.00%
BP18-046,0.75,0.25,25.00%
BP18-050,0.75,0.25,25.00%
BP18-051,0.75,0.25,25.00%
BP18-117,0.75,0.25,25.00%
CP03-052,0.75,0.25,25.00%
CP03-056,0.75,0.25,25.00%
CP03-060,0.75,0.25,25.00%
BP10-037,0.62,0.208333,25.00%
BP14-115,0.62,0.208333,25.00%
BP07-103,0.50,0.166667,25.00%
BP12-041,0.50,0.166667,25.00%
BP17-043,0.50,0.166667,25.00%
BP18-123,0.50,0.166667,25.00%
CP03-048,0.50,0.166667,25.00%
BP07-037,0.38,0.125,25.00%
BP02-046,0.38,0.125,12.50%
BP05-035,0.38,0.125,12.50%
BP05-103,0.38,0.125,12.50%
BP08-041,0.38,0.125,12.50%
BP11-048,0.38,0.125,12.50%
BP12-037,0.38,0.125,12.50%
BP13-036,0.38,0.125,12.50%
BP13-047,0.38,0.125,12.50%
BP14-047,0.38,0.125,12.50%
BP14-118,0.38,0.125,12.50%
BP15-038,0.38,0.125,12.50%
BP15-047,0.38,0.125,12.50%
BP15-053,0.38,0.125,12.50%
BP15-112,0.38,0.125,12.50%
BP16-037,0.38,0.125,12.50%
BP16-045,0.38,0.125,12.50%
BP16-048,0.38,0.125,12.50%
BP16-117,0.38,0.125,12.50%
BP17-047,0.38,0.125,12.50%
BP17-052,0.38,0.125,12.50%
BP17-054,0.38,0.125,12.50%
BP17-113,0.38,0.125,12.50%
BP18-053,0.38,0.125,12.50%
DSD01a-009,0.38,0.125,12.50%
DSD01a-014,0.38,0.125,12.50%
PR-364,0.38,0.125,12.50%
SP01-021,0.38,0.125,12.50%
BP12-050,0.25,0.083333,25.00%
BP05-046,0.25,0.083333,12.50%
BP08-047,0.25,0.083333,12.50%
BP09-046,0.25,0.083333,12.50%
BP09-050,0.25,0.083333,12.50%
BP13-042,0.25,0.083333,12.50%
BP17-049,0.25,0.083333,12.50%
CP04-041,0.25,0.083333,12.50%
BP02-035,0.12,0.041667,12.50%
BP05-038,0.12,0.041667,12.50%
BP05-040,0.12,0.041667,12.50%
BP05-112,0.12,0.041667,12.50%
