カード名,枚数,価値,採用デッキ%
ECP01-049,3.00,1.0,100.00%
CP01-016,2.25,0.75,75.00%
CP01-031,2.25,0.75,75.00%
CP01-080,2.25,0.75,75.00%
ECP01-010,2.25,0.75,75.00%
ECP01-019,2.25,0.75,75.00%
ECP01-028,2.25,0.75,75.00%
CP01-068,1.75,0.583333,75.00%
CP01-070,1.75,0.583333,75.00%
CP01-052,1.50,0.5,50.00%
CP01-073,1.50,0.5,50.00%
ECP01-036,1.50,0.5,50.00%
ECP01-046,1.50,0.5,50.00%
ECP01-030,1.25,0.416667,50.00%
ECP01-031,1.25,0.416667,50.00%
ECP01-052,1.25,0.416667,50.00%
ECP01-056,1.00,0.333333,50.00%
CP01-034,0.75,0.25,25.00%
CP01-059,0.75,0.25,25.00%
ECP01-001,0.75,0.25,25.00%
ECP01-004,0.75,0.25,25.00%
ECP01-005,0.75,0.25,25.00%
ECP01-007,0.75,0.25,25.00%
ECP01-008,0.75,0.25,25.00%
ECP01-009,0.75,0.25,25.00%
ECP01-013,0.75,0.25,25.00%
ECP01-032,0.75,0.25,25.00%
ECP01-041,0.75,0.25,25.00%
ECP01-003,0.50,0.166667,25.00%
ECP01-022,0.50,0.166667,25.00%
ECP01-057,0.50,0.166667,25.00%
ECP01-044,0.25,0.083333,25.00%
ECP01-053,0.25,0.083333,25.00%
