아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,CP01-059,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,CP01-070,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-001,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-004,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-005,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-007,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-009,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-013,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-019,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-031,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-041,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-049,3.00,1.0,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-022,2.00,0.666667,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-044,1.00,0.333333,100.00%
2,マヤノトップガン / その背中を越えて / ホッコータルマエ / サウンズオブアース / 〔うららか・ぱっしょん♪〕ハルウララ,ECP01-053,1.00,0.333333,100.00%
