カード名,枚数,価値,採用デッキ%
BP10-005,2.42,0.805556,80.56%
BP11-003,2.42,0.805556,80.56%
BP17-001,2.42,0.805556,80.56%
BP04-010,2.40,0.800926,80.56%
BP05-109,2.39,0.796296,80.56%
ECP02-004,2.39,0.796296,80.56%
BP18-019,2.26,0.75463,77.78%
BP01-015,2.19,0.731481,77.78%
SP01-045,2.19,0.731481,75.00%
BP18-004,2.04,0.680556,75.00%
BP16-009,1.68,0.560185,68.06%
CP02-006,1.65,0.550926,80.56%
CP04-001,1.58,0.527778,69.44%
BP15-004,1.50,0.5,68.06%
BP16-007,0.97,0.324074,72.22%
BP18-007,0.69,0.231481,36.11%
BP16-118,0.57,0.189815,25.00%
BP18-001,0.42,0.138889,13.89%
BP18-003,0.42,0.138889,13.89%
BP18-005,0.42,0.138889,13.89%
BP18-117,0.42,0.138889,13.89%
BP18-120,0.42,0.138889,13.89%
BP18-013,0.40,0.134259,13.89%
BP02-110,0.38,0.125,12.50%
EBD01-007,0.35,0.115741,18.06%
BP18-126,0.35,0.115741,13.89%
BP18-123,0.32,0.106481,13.89%
BP18-009,0.31,0.101852,11.11%
BP18-014,0.28,0.092593,13.89%
BP13-001,0.28,0.092593,9.72%
BP09-112,0.25,0.083333,9.72%
BP13-008,0.15,0.050926,9.72%
BP18-008,0.14,0.046296,11.11%
BP12-007,0.12,0.041667,4.17%
BP05-014,0.11,0.037037,4.17%
BP11-105,0.10,0.032407,4.17%
BP18-116,0.08,0.027778,8.33%
CP02-011,0.08,0.027778,6.94%
BP18-119,0.08,0.027778,4.17%
BP01-170,0.08,0.027778,2.78%
BP07-001,0.08,0.027778,2.78%
BP07-007,0.08,0.027778,2.78%
BP07-112,0.08,0.027778,2.78%
BP12-103,0.08,0.027778,2.78%
BP17-002,0.08,0.027778,2.78%
PR-169,0.08,0.027778,2.78%
PR-178,0.08,0.027778,2.78%
BP05-017,0.07,0.023148,2.78%
BP11-115,0.07,0.023148,2.78%
BP04-007,0.06,0.018519,2.78%
BP07-004,0.06,0.018519,2.78%
BP07-014,0.06,0.018519,2.78%
BP11-113,0.06,0.018519,2.78%
BP12-104,0.06,0.018519,2.78%
BP12-107,0.06,0.018519,2.78%
BP13-015,0.06,0.018519,2.78%
BP18-017,0.06,0.018519,2.78%
BP01-009,0.04,0.013889,1.39%
BP01-023,0.04,0.013889,1.39%
BP03-014,0.04,0.013889,1.39%
BP08-001,0.04,0.013889,1.39%
BP08-002,0.04,0.013889,1.39%
BP10-007,0.04,0.013889,1.39%
BP10-009,0.04,0.013889,1.39%
BP10-017,0.04,0.013889,1.39%
BP13-003,0.04,0.013889,1.39%
BP13-018,0.04,0.013889,1.39%
BP14-001,0.04,0.013889,1.39%
BP14-007,0.04,0.013889,1.39%
BP14-008,0.04,0.013889,1.39%
BP14-111,0.04,0.013889,1.39%
BP14-115,0.04,0.013889,1.39%
BP14-118,0.04,0.013889,1.39%
BP16-004,0.04,0.013889,1.39%
BP16-015,0.04,0.013889,1.39%
BP16-017,0.04,0.013889,1.39%
CP04-013,0.04,0.013889,1.39%
EBD01-003,0.04,0.013889,1.39%
EBD01-009,0.04,0.013889,1.39%
EBD01-014,0.04,0.013889,1.39%
BP13-110,0.03,0.009259,1.39%
BP15-019,0.03,0.009259,1.39%
BP15-113,0.03,0.009259,1.39%
BP16-001,0.03,0.009259,1.39%
CP04-016,0.03,0.009259,1.39%
EBD01-008,0.03,0.009259,1.39%
BP03-001,0.01,0.00463,1.39%
BP04-013,0.01,0.00463,1.39%
BP07-012,0.01,0.00463,1.39%
BP10-003,0.01,0.00463,1.39%
BP13-012,0.01,0.00463,1.39%
BP14-105,0.01,0.00463,1.39%
BP16-117,0.01,0.00463,1.39%
CP04-018,0.01,0.00463,1.39%
EBD01-013,0.01,0.00463,1.39%
