아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP01-170,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP07-001,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP07-007,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP07-112,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP12-007,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP12-103,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP13-001,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP17-002,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,PR-169,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,PR-178,3.00,1.0,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP07-004,2.00,0.666667,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP07-014,2.00,0.666667,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP12-104,2.00,0.666667,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP12-107,2.00,0.666667,100.00%
4,光の道筋 / 回帰する抱擁・ラティカ / 大いなる回帰 / ワンダーコック / 重なり合う決意,BP13-008,2.00,0.666667,100.00%
