カード名,枚数,価値,採用デッキ%
SD04-002,2.00,0.666667,67.44%
BP10-068,1.40,0.465116,46.51%
BP11-058,1.40,0.465116,46.51%
BP17-055,1.40,0.465116,46.51%
BP18-060,1.40,0.465116,46.51%
BP18-070,1.40,0.465116,46.51%
DSD01b-003,1.40,0.465116,46.51%
PR-492,1.40,0.465116,46.51%
BP15-074,1.33,0.44186,44.19%
SD08-011,1.33,0.44186,44.19%
BP13-061,1.26,0.418605,46.51%
BP13-054,1.26,0.418605,44.19%
BP11-059,1.26,0.418605,41.86%
BP16-057,1.26,0.418605,41.86%
BP11-066,1.19,0.395349,39.53%
BP07-055,1.16,0.387597,39.53%
BP15-060,1.12,0.372093,37.21%
BP16-067,1.09,0.364341,37.21%
BP13-059,0.98,0.325581,46.51%
BP18-061,0.98,0.325581,46.51%
DSD01b-001,0.98,0.325581,46.51%
BP11-062,0.98,0.325581,37.21%
BP17-062,0.88,0.294574,39.53%
BP10-054,0.86,0.286822,44.19%
BP15-113,0.86,0.286822,34.88%
BP18-066,0.81,0.271318,37.21%
BP18-071,0.67,0.224806,41.86%
BP16-118,0.63,0.209302,25.58%
CP04-062,0.60,0.20155,20.93%
BP13-067,0.47,0.155039,23.26%
BP16-072,0.40,0.131783,20.93%
BP02-062,0.37,0.124031,37.21%
BP16-056,0.28,0.093023,23.26%
BP17-066,0.26,0.085271,9.30%
BP13-060,0.23,0.077519,20.93%
BP01-098,0.21,0.069767,6.98%
BP14-058,0.21,0.069767,6.98%
BP01-076,0.19,0.062016,9.30%
BP13-056,0.19,0.062016,6.98%
SP01-026,0.14,0.046512,9.30%
BP18-062,0.14,0.046512,6.98%
BP01-089,0.14,0.046512,4.65%
BP09-058,0.14,0.046512,4.65%
BP11-054,0.14,0.046512,4.65%
BP18-116,0.12,0.03876,4.65%
CP03-075,0.12,0.03876,4.65%
ECP01-034,0.12,0.03876,4.65%
BP01-080,0.09,0.031008,4.65%
CP01-044,0.09,0.031008,4.65%
CP01-052,0.09,0.031008,4.65%
DSD01b-013,0.07,0.023256,6.98%
BP01-099,0.07,0.023256,2.33%
BP03-112,0.07,0.023256,2.33%
BP04-064,0.07,0.023256,2.33%
BP05-058,0.07,0.023256,2.33%
BP05-063,0.07,0.023256,2.33%
BP05-068,0.07,0.023256,2.33%
BP08-053,0.07,0.023256,2.33%
BP08-057,0.07,0.023256,2.33%
BP08-063,0.07,0.023256,2.33%
BP08-105,0.07,0.023256,2.33%
BP09-055,0.07,0.023256,2.33%
BP10-056,0.07,0.023256,2.33%
BP11-068,0.07,0.023256,2.33%
BP12-054,0.07,0.023256,2.33%
BP12-062,0.07,0.023256,2.33%
BP15-057,0.07,0.023256,2.33%
BP15-058,0.07,0.023256,2.33%
BP15-064,0.07,0.023256,2.33%
BP15-066,0.07,0.023256,2.33%
BP15-070,0.07,0.023256,2.33%
BP15-072,0.07,0.023256,2.33%
BP17-116,0.07,0.023256,2.33%
BP18-068,0.07,0.023256,2.33%
ECP01-028,0.07,0.023256,2.33%
ECP01-031,0.07,0.023256,2.33%
ECP01-057,0.07,0.023256,2.33%
SD08-018,0.07,0.023256,2.33%
SP01-028,0.07,0.023256,2.33%
BP01-090,0.05,0.015504,2.33%
BP03-055,0.05,0.015504,2.33%
BP05-055,0.05,0.015504,2.33%
BP06-072,0.05,0.015504,2.33%
BP08-068,0.05,0.015504,2.33%
BP10-109,0.05,0.015504,2.33%
BP12-059,0.05,0.015504,2.33%
BP13-110,0.05,0.015504,2.33%
BP14-053,0.05,0.015504,2.33%
BP14-110,0.05,0.015504,2.33%
BP16-074,0.05,0.015504,2.33%
DSD01b-012,0.05,0.015504,2.33%
ECP01-030,0.05,0.015504,2.33%
ECP01-036,0.05,0.015504,2.33%
BP09-068,0.02,0.007752,2.33%
CP01-042,0.02,0.007752,2.33%
CP04-067,0.02,0.007752,2.33%
