아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP10-068,3.00,1.0,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP17-055,3.00,1.0,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP18-060,3.00,1.0,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP18-070,3.00,1.0,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,DSD01b-003,3.00,1.0,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,PR-492,3.00,1.0,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,SD04-002,3.00,1.0,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP13-061,2.70,0.9,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP13-054,2.70,0.9,95.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP13-059,2.10,0.7,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,DSD01b-001,2.10,0.7,100.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP17-062,1.90,0.633333,85.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP18-066,1.75,0.583333,80.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP18-071,1.45,0.483333,90.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP13-067,1.00,0.333333,50.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP16-056,0.60,0.2,50.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP13-060,0.50,0.166667,45.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP14-058,0.45,0.15,15.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP01-076,0.40,0.133333,20.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,CP04-062,0.40,0.133333,15.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP18-062,0.30,0.1,15.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP15-113,0.20,0.066667,10.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,DSD01b-013,0.15,0.05,15.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP06-072,0.10,0.033333,5.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP12-059,0.10,0.033333,5.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,DSD01b-012,0.10,0.033333,5.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,BP01-080,0.05,0.016667,5.00%
1,水呼びの竜使い / 竜槍の戦士・ローウェン / 炎髄の副会長・テンカ / 朱翼の入学祝 / 暴竜・伊達政宗,CP01-042,0.05,0.016667,5.00%
