カード名,枚数,価値,採用デッキ%
BP07-076,2.58,0.860697,89.55%
BP11-075,2.33,0.776119,85.07%
BP16-075,2.19,0.731343,73.13%
BP14-070,2.16,0.721393,74.63%
BP11-071,2.06,0.686567,68.66%
BP17-073,2.06,0.686567,68.66%
BP11-076,2.01,0.671642,67.16%
BP13-077,2.01,0.671642,67.16%
BP12-071,1.66,0.552239,68.66%
BP16-078,1.66,0.552239,68.66%
BP17-081,1.51,0.502488,62.69%
BP03-076,1.39,0.462687,68.66%
BP01-110,1.30,0.432836,68.66%
BP09-071,1.24,0.412935,52.24%
BP11-074,1.18,0.393035,68.66%
BP11-069,1.10,0.368159,67.16%
BP12-079,0.61,0.20398,20.90%
BP06-084,0.58,0.19403,19.40%
BP07-069,0.58,0.19403,19.40%
BP07-075,0.58,0.19403,19.40%
BP07-116,0.58,0.19403,19.40%
BP12-082,0.58,0.19403,19.40%
BP17-076,0.58,0.19403,19.40%
BP17-083,0.58,0.19403,19.40%
BP17-113,0.58,0.19403,19.40%
BP17-080,0.57,0.189055,19.40%
BP12-075,0.34,0.114428,19.40%
BP17-079,0.34,0.114428,19.40%
BP01-116,0.27,0.089552,19.40%
BP13-076,0.22,0.074627,10.45%
BP07-072,0.19,0.064677,19.40%
BP13-081,0.15,0.049751,11.94%
BP15-080,0.13,0.044776,4.48%
BP18-079,0.13,0.044776,4.48%
BP18-090,0.13,0.044776,4.48%
SP01-045,0.13,0.044776,4.48%
BP11-079,0.12,0.039801,5.97%
BP12-103,0.10,0.034826,5.97%
BP15-078,0.10,0.034826,4.48%
BP18-085,0.10,0.034826,4.48%
BP18-082,0.09,0.029851,4.48%
BP02-069,0.09,0.029851,2.99%
BP03-115,0.09,0.029851,2.99%
BP08-103,0.09,0.029851,2.99%
BP09-069,0.09,0.029851,2.99%
BP09-075,0.09,0.029851,2.99%
BP09-078,0.09,0.029851,2.99%
BP09-083,0.09,0.029851,2.99%
BP14-072,0.09,0.029851,2.99%
BP14-074,0.09,0.029851,2.99%
BP14-077,0.09,0.029851,2.99%
BP14-081,0.09,0.029851,2.99%
BP14-085,0.09,0.029851,2.99%
BP14-087,0.09,0.029851,2.99%
BP14-115,0.09,0.029851,2.99%
BP14-118,0.09,0.029851,2.99%
BP16-085,0.09,0.029851,2.99%
BP17-074,0.09,0.029851,2.99%
BP18-080,0.09,0.029851,2.99%
BP18-084,0.09,0.029851,2.99%
BP18-089,0.09,0.029851,2.99%
BP18-096,0.09,0.029851,2.99%
BP13-080,0.07,0.024876,2.99%
BP15-113,0.07,0.024876,2.99%
CP02-075,0.06,0.0199,4.48%
BP14-082,0.06,0.0199,2.99%
BP18-092,0.06,0.0199,2.99%
BP02-081,0.04,0.014925,1.49%
BP05-070,0.04,0.014925,1.49%
BP05-085,0.04,0.014925,1.49%
BP10-089,0.04,0.014925,1.49%
BP15-079,0.04,0.014925,1.49%
BP15-088,0.04,0.014925,1.49%
BP16-118,0.04,0.014925,1.49%
CP03-093,0.04,0.014925,1.49%
EBD03-009,0.04,0.014925,1.49%
EBD03-012,0.04,0.014925,1.49%
ECP01-037,0.04,0.014925,1.49%
BP02-073,0.03,0.00995,1.49%
BP04-127,0.03,0.00995,1.49%
BP06-073,0.03,0.00995,1.49%
BP07-081,0.03,0.00995,1.49%
BP08-074,0.03,0.00995,1.49%
BP10-109,0.03,0.00995,1.49%
BP12-069,0.03,0.00995,1.49%
BP12-074,0.03,0.00995,1.49%
BP12-104,0.03,0.00995,1.49%
BP14-080,0.03,0.00995,1.49%
BP15-083,0.03,0.00995,1.49%
BP16-117,0.03,0.00995,1.49%
BP01-109,0.01,0.004975,1.49%
BP01-115,0.01,0.004975,1.49%
BP02-112,0.01,0.004975,1.49%
BP10-074,0.01,0.004975,1.49%
BP11-082,0.01,0.004975,1.49%
BP12-083,0.01,0.004975,1.49%
BP14-084,0.01,0.004975,1.49%
BP17-084,0.01,0.004975,1.49%
BP18-086,0.01,0.004975,1.49%
CP02-085,0.01,0.004975,1.49%
