아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP07-076,3.00,1.0,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP12-071,3.00,1.0,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP14-070,3.00,1.0,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP15-080,3.00,1.0,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP18-079,3.00,1.0,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP18-090,3.00,1.0,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,SP01-045,3.00,1.0,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP18-085,2.33,0.777778,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP18-082,2.00,0.666667,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP08-103,2.00,0.666667,66.67%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP13-076,2.00,0.666667,66.67%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP13-081,1.67,0.555556,100.00%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP13-080,1.67,0.555556,66.67%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP15-078,1.00,0.333333,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP15-088,1.00,0.333333,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP17-073,1.00,0.333333,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,ECP01-037,1.00,0.333333,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP03-076,0.67,0.222222,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP04-127,0.67,0.222222,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP08-074,0.67,0.222222,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP15-113,0.67,0.222222,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP01-109,0.33,0.111111,33.33%
3,禁絶の腕・ニコラ / 死期を視るもの・グレモリー / 憧れの飛躍・イツルギ / ブラッドロード・ユヅキ / 葬りの狼・ヴェッド,BP18-086,0.33,0.111111,33.33%
