カード名,枚数,価値,採用デッキ%
BP12-086,1.71,0.569444,62.50%
BP07-092,1.38,0.458333,45.83%
BP07-094,1.38,0.458333,45.83%
BP07-101,1.38,0.458333,45.83%
BP07-116,1.38,0.458333,45.83%
BP12-091,1.38,0.458333,45.83%
BP17-098,1.38,0.458333,45.83%
BP17-106,1.38,0.458333,45.83%
BP07-086,1.25,0.416667,45.83%
BP17-099,1.21,0.402778,45.83%
BP07-097,1.12,0.375,41.67%
BP01-140,1.12,0.375,37.50%
BP15-094,1.12,0.375,37.50%
BP15-101,1.12,0.375,37.50%
BP12-096,1.08,0.361111,41.67%
BP01-131,1.08,0.361111,37.50%
BP08-092,1.00,0.333333,33.33%
BP15-113,1.00,0.333333,33.33%
BP17-109,0.88,0.291667,29.17%
BP01-139,0.71,0.236111,25.00%
BP18-115,0.71,0.236111,25.00%
BP17-113,0.67,0.222222,29.17%
BP12-089,0.62,0.208333,45.83%
BP17-107,0.62,0.208333,37.50%
BP14-098,0.62,0.208333,29.17%
BP16-094,0.62,0.208333,25.00%
BP17-091,0.54,0.180556,25.00%
BP10-109,0.50,0.166667,29.17%
BP09-086,0.50,0.166667,16.67%
BP10-107,0.50,0.166667,16.67%
BP11-086,0.50,0.166667,16.67%
BP13-088,0.50,0.166667,16.67%
BP13-091,0.50,0.166667,16.67%
BP16-096,0.50,0.166667,16.67%
CP03-115,0.50,0.166667,16.67%
ECP01-053,0.50,0.166667,16.67%
BP11-096,0.46,0.152778,16.67%
BP11-099,0.46,0.152778,16.67%
BP15-111,0.46,0.152778,16.67%
SP01-045,0.46,0.152778,16.67%
BP17-100,0.42,0.138889,16.67%
BP08-087,0.38,0.125,16.67%
BP18-107,0.33,0.111111,12.50%
BP05-098,0.25,0.083333,8.33%
BP14-110,0.25,0.083333,8.33%
BP16-117,0.25,0.083333,8.33%
CP01-070,0.25,0.083333,8.33%
BP05-092,0.21,0.069444,20.83%
BP11-092,0.21,0.069444,20.83%
BP16-100,0.21,0.069444,20.83%
BP12-104,0.21,0.069444,8.33%
BP16-118,0.21,0.069444,8.33%
BP11-113,0.17,0.055556,16.67%
CP02-096,0.17,0.055556,12.50%
BP04-115,0.17,0.055556,8.33%
BP06-099,0.17,0.055556,8.33%
BP10-108,0.17,0.055556,8.33%
BP05-086,0.12,0.041667,4.17%
BP07-100,0.12,0.041667,4.17%
BP12-099,0.12,0.041667,4.17%
BP15-097,0.12,0.041667,4.17%
CP04-102,0.12,0.041667,4.17%
BP11-095,0.08,0.027778,8.33%
BP01-133,0.08,0.027778,4.17%
BP11-101,0.08,0.027778,4.17%
BP13-111,0.08,0.027778,4.17%
BP16-099,0.08,0.027778,4.17%
BP04-099,0.04,0.013889,4.17%
BP04-104,0.04,0.013889,4.17%
BP09-092,0.04,0.013889,4.17%
BP09-102,0.04,0.013889,4.17%
BP12-102,0.04,0.013889,4.17%
