아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP09-086,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP10-107,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP11-086,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP13-088,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP13-091,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP16-096,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,CP03-115,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,ECP01-053,3.00,1.0,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP11-096,2.75,0.916667,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP11-099,2.75,0.916667,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,SP01-045,2.75,0.916667,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP12-086,2.00,0.666667,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP05-098,1.50,0.5,50.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP16-118,1.25,0.416667,50.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP11-113,1.00,0.333333,100.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP07-100,0.75,0.25,25.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP15-097,0.75,0.25,25.00%
3,希望導く聖乙女・ジャンヌ / 剛健の翼人 / メルティングシュガー・セリーナ / 絶望の聖女・ジャンヌ / ルナールの聖騎士,BP11-095,0.50,0.166667,50.00%
