カード名,枚数,価値,採用デッキ%
CP04-118,2.61,0.871585,88.52%
CP04-062,2.46,0.819672,81.97%
CP04-003,2.34,0.778689,82.79%
CP04-039,2.09,0.696721,69.67%
CP04-047,2.09,0.696721,69.67%
CP04-048,2.09,0.696721,69.67%
CP04-053,2.07,0.691257,70.49%
CP04-054,1.89,0.631148,63.93%
CP04-018,1.87,0.622951,68.85%
CP04-055,1.76,0.587432,59.84%
CP04-037,1.75,0.581967,65.57%
CP04-019,1.63,0.543716,63.11%
CP04-044,1.62,0.540984,68.85%
CP04-041,0.91,0.303279,40.98%
CP04-058,0.78,0.259563,28.69%
CP04-091,0.73,0.243169,39.34%
CP04-057,0.69,0.229508,24.59%
CP04-073,0.66,0.218579,46.72%
CP04-001,0.61,0.204918,22.95%
CP04-045,0.52,0.172131,18.85%
CP04-063,0.48,0.161202,17.21%
CP04-049,0.48,0.15847,22.13%
CP04-075,0.47,0.155738,17.21%
CP04-115,0.44,0.147541,14.75%
CP04-059,0.43,0.144809,18.85%
CP04-112,0.40,0.13388,16.39%
CP04-095,0.34,0.112022,13.93%
CP04-007,0.33,0.10929,11.48%
CP04-089,0.31,0.103825,11.48%
CP04-113,0.29,0.095628,11.48%
CP04-036,0.28,0.092896,16.39%
CP04-066,0.28,0.092896,14.75%
CP04-080,0.26,0.087432,9.02%
CP04-022,0.25,0.081967,8.20%
CP04-116,0.24,0.079235,8.20%
CP04-065,0.23,0.076503,13.93%
CP04-016,0.23,0.076503,9.84%
CP04-079,0.20,0.068306,7.38%
PR-511,0.20,0.068306,7.38%
CP04-004,0.20,0.065574,6.56%
PCS01-021,0.17,0.057377,5.74%
CP04-015,0.15,0.04918,8.20%
CP04-094,0.15,0.04918,8.20%
CP04-021,0.13,0.043716,6.56%
CP04-076,0.12,0.040984,4.92%
CP04-081,0.12,0.040984,4.10%
CP04-083,0.12,0.040984,4.10%
CP04-084,0.12,0.040984,4.10%
CP04-071,0.11,0.038251,9.84%
CP04-077,0.10,0.032787,3.28%
CP04-105,0.08,0.027322,4.10%
CP04-093,0.07,0.02459,2.46%
CP04-102,0.07,0.02459,2.46%
CP04-108,0.07,0.02459,2.46%
PCS01-026,0.07,0.02459,2.46%
CP04-026,0.07,0.021858,4.10%
CP04-107,0.07,0.021858,4.10%
CP04-008,0.07,0.021858,2.46%
CP04-090,0.07,0.021858,2.46%
CP04-111,0.05,0.016393,4.10%
CP04-099,0.05,0.016393,1.64%
CP04-069,0.04,0.013661,1.64%
CP04-061,0.03,0.010929,1.64%
PR-505,0.03,0.010929,1.64%
CP04-011,0.02,0.008197,2.46%
CP04-005,0.02,0.008197,1.64%
CP04-012,0.02,0.008197,0.82%
CP04-027,0.02,0.008197,0.82%
CP04-030,0.02,0.008197,0.82%
CP04-072,0.02,0.008197,0.82%
CP04-087,0.02,0.008197,0.82%
CP04-097,0.02,0.008197,0.82%
CP04-098,0.02,0.008197,0.82%
CP04-103,0.02,0.008197,0.82%
CP04-106,0.02,0.008197,0.82%
CP04-SP08,0.02,0.008197,0.82%
CP04-031,0.02,0.005464,1.64%
CP04-067,0.02,0.005464,1.64%
CP04-009,0.02,0.005464,0.82%
CP04-070,0.01,0.002732,0.82%
CP04-109,0.01,0.002732,0.82%
PCS01-027,0.01,0.002732,0.82%
