아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-039,3.00,1.0,100.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-047,3.00,1.0,100.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-048,3.00,1.0,100.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-062,2.96,0.986667,98.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-053,2.93,0.977778,100.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-118,2.91,0.968889,98.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-003,2.84,0.946667,98.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-054,2.76,0.92,93.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-037,2.56,0.853333,96.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-018,2.52,0.84,92.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-044,2.33,0.777778,98.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-055,1.96,0.653333,66.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-019,1.75,0.582222,72.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-041,0.97,0.324444,48.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-049,0.72,0.24,33.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-045,0.72,0.24,26.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-091,0.60,0.2,37.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-073,0.47,0.155556,41.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-036,0.39,0.128889,24.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-058,0.29,0.097778,12.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-001,0.21,0.071111,10.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,PCS01-021,0.20,0.066667,6.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-057,0.17,0.057778,6.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,PR-511,0.17,0.057778,6.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-075,0.15,0.048889,6.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-071,0.09,0.031111,6.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-063,0.08,0.026667,4.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-111,0.04,0.013333,4.00%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-059,0.04,0.013333,2.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-067,0.03,0.008889,2.67%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-021,0.03,0.008889,1.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-090,0.03,0.008889,1.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-113,0.03,0.008889,1.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,PR-505,0.03,0.008889,1.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-031,0.01,0.004444,1.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-094,0.01,0.004444,1.33%
1,ユニ / チエル / クロエ / いつか、また会う未来で / ちぇるちぇる☆かあにばる,CP04-107,0.01,0.004444,1.33%
