カード名,枚数,価値,採用デッキ%
BP11-018,1.25,0.416667,41.67%
BP07-022,1.08,0.361111,37.50%
BP18-026,1.02,0.340278,41.67%
BP09-020,0.96,0.319444,35.42%
BP16-117,0.88,0.291667,29.17%
BP06-019,0.62,0.208333,20.83%
BP09-018,0.62,0.208333,20.83%
CP03-030,0.58,0.194444,20.83%
BP01-159,0.56,0.1875,18.75%
BP03-117,0.56,0.1875,18.75%
BP09-106,0.56,0.1875,18.75%
BP09-117,0.56,0.1875,18.75%
BP10-114,0.56,0.1875,18.75%
BP14-108,0.56,0.1875,18.75%
BP14-110,0.56,0.1875,18.75%
BP17-019,0.56,0.1875,18.75%
BP07-034,0.54,0.180556,31.25%
BP05-025,0.54,0.180556,25.00%
BP15-023,0.54,0.180556,18.75%
BP16-111,0.54,0.180556,18.75%
BP11-031,0.50,0.166667,20.83%
BP05-018,0.50,0.166667,16.67%
BP14-018,0.50,0.166667,16.67%
BP15-020,0.50,0.166667,16.67%
BP15-113,0.50,0.166667,16.67%
BP16-019,0.50,0.166667,16.67%
BP16-022,0.48,0.159722,16.67%
BP16-031,0.44,0.145833,18.75%
BP01-170,0.44,0.145833,14.58%
BP05-033,0.44,0.145833,14.58%
BP05-034,0.44,0.145833,14.58%
BP06-028,0.44,0.145833,14.58%
BP07-018,0.44,0.145833,14.58%
BP07-028,0.44,0.145833,14.58%
BP07-030,0.44,0.145833,14.58%
BP07-112,0.44,0.145833,14.58%
BP12-103,0.44,0.145833,14.58%
BP12-107,0.44,0.145833,14.58%
BP15-024,0.44,0.145833,14.58%
BP15-026,0.44,0.145833,14.58%
BP15-035,0.44,0.145833,14.58%
BP17-025,0.44,0.145833,14.58%
BP17-031,0.44,0.145833,14.58%
BP18-020,0.44,0.145833,14.58%
BP18-022,0.44,0.145833,14.58%
BP18-023,0.44,0.145833,14.58%
BP18-024,0.44,0.145833,14.58%
BP18-027,0.44,0.145833,14.58%
BP18-028,0.44,0.145833,14.58%
BP18-031,0.44,0.145833,14.58%
BP18-032,0.44,0.145833,14.58%
BP07-033,0.42,0.138889,14.58%
BP10-031,0.42,0.138889,14.58%
BP14-024,0.40,0.131944,14.58%
BP11-027,0.38,0.125,14.58%
BP11-SP01,0.38,0.125,14.58%
BP18-120,0.38,0.125,14.58%
BP07-024,0.38,0.125,12.50%
BP14-022,0.38,0.125,12.50%
BP14-026,0.38,0.125,12.50%
BP14-030,0.38,0.125,12.50%
BP14-034,0.38,0.125,12.50%
BP14-035,0.38,0.125,12.50%
BP14-115,0.38,0.125,12.50%
BP14-118,0.38,0.125,12.50%
BP15-021,0.38,0.125,12.50%
BP18-117,0.38,0.125,12.50%
BP08-034,0.35,0.118056,14.58%
BP14-025,0.35,0.118056,12.50%
BP18-123,0.35,0.118056,12.50%
SP01-010,0.35,0.118056,12.50%
BP11-024,0.33,0.111111,29.17%
ECP01-010,0.29,0.097222,14.58%
CP03-040,0.29,0.097222,10.42%
BP15-031,0.25,0.083333,10.42%
BP03-109,0.19,0.0625,10.42%
BP13-029,0.19,0.0625,6.25%
BP18-126,0.17,0.055556,8.33%
BP10-121,0.15,0.048611,6.25%
CP04-021,0.15,0.048611,6.25%
BP16-118,0.12,0.041667,4.17%
BP17-020,0.10,0.034722,10.42%
BP17-022,0.10,0.034722,6.25%
BP18-119,0.10,0.034722,6.25%
BP06-024,0.10,0.034722,4.17%
BP01-152,0.08,0.027778,4.17%
BP08-023,0.08,0.027778,4.17%
BP17-029,0.08,0.027778,4.17%
BP07-021,0.06,0.020833,4.17%
BP09-032,0.06,0.020833,4.17%
BP02-025,0.06,0.020833,2.08%
BP07-104,0.06,0.020833,2.08%
BP07-P06,0.06,0.020833,2.08%
BP08-021,0.06,0.020833,2.08%
BP08-024,0.06,0.020833,2.08%
BP08-030,0.06,0.020833,2.08%
BP10-019,0.06,0.020833,2.08%
BP11-023,0.06,0.020833,2.08%
BP11-105,0.06,0.020833,2.08%
BP13-026,0.06,0.020833,2.08%
BP13-028,0.06,0.020833,2.08%
BP13-030,0.06,0.020833,2.08%
BP13-032,0.06,0.020833,2.08%
BP13-033,0.06,0.020833,2.08%
BP13-035,0.06,0.020833,2.08%
BP15-028,0.06,0.020833,2.08%
BP15-122,0.06,0.020833,2.08%
BP16-021,0.06,0.020833,2.08%
CP02-034,0.06,0.020833,2.08%
CP04-019,0.06,0.020833,2.08%
CP04-022,0.06,0.020833,2.08%
CSD03a-007,0.06,0.020833,2.08%
SD07-012,0.06,0.020833,2.08%
BP01-162,0.04,0.013889,4.17%
BP17-115,0.04,0.013889,4.17%
BP04-124,0.04,0.013889,2.08%
BP07-107,0.04,0.013889,2.08%
BP08-028,0.04,0.013889,2.08%
BP08-112,0.04,0.013889,2.08%
BP13-019,0.04,0.013889,2.08%
BP17-112,0.04,0.013889,2.08%
CP01-016,0.04,0.013889,2.08%
BP02-018,0.02,0.006944,2.08%
BP09-112,0.02,0.006944,2.08%
BP11-034,0.02,0.006944,2.08%
BP11-113,0.02,0.006944,2.08%
BP15-027,0.02,0.006944,2.08%
BP18-116,0.02,0.006944,2.08%
