아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-020,3.00,1.0,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-022,3.00,1.0,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-024,3.00,1.0,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-027,3.00,1.0,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-028,3.00,1.0,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-031,3.00,1.0,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-032,3.00,1.0,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-120,2.57,0.857143,100.00%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP15-021,2.57,0.857143,85.71%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-117,2.57,0.857143,85.71%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-123,2.43,0.809524,85.71%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP05-025,1.71,0.571429,85.71%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP15-031,1.71,0.571429,71.43%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-126,1.14,0.380952,57.14%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-026,1.00,0.333333,42.86%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP08-034,0.86,0.285714,42.86%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-119,0.71,0.238095,42.86%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP16-022,0.71,0.238095,28.57%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP07-022,0.43,0.142857,14.29%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP17-019,0.43,0.142857,14.29%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP09-020,0.14,0.047619,14.29%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP11-034,0.14,0.047619,14.29%
3,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員,BP18-116,0.14,0.047619,14.29%
