직업,덱코드,대회코드,아키타입ID,아키타입명(대표카드 top5)
アイドルマスター シンデレラガールズ,6CM6B,1459563,1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇 / 〔シンデレラガール〕渋谷凛
アイドルマスター シンデレラガールズ,U9AL,1469473,1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇 / 〔シンデレラガール〕渋谷凛
アイドルマスター シンデレラガールズ,27ZES,1472403,2,〔てづくりのしあわせ〕高森藍子 / 〔ポジティブパッション〕日野茜 / 龍崎薫 / 〔フルスイング☆エール〕姫川友紀 / 〔シンデレラガール〕本田未央
アイドルマスター シンデレラガールズ,U9AL,1499928,1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇 / 〔シンデレラガール〕渋谷凛
アイドルマスター シンデレラガールズ,U9AL,1510835,1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇 / 〔シンデレラガール〕渋谷凛
アイドルマスター シンデレラガールズ,1XNE2,1510835,1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇 / 〔シンデレラガール〕渋谷凛
ウィッチ,5FS7S,1471925,2,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師
ウィッチ,39E38,1478685,1,蒼の反逆者・テトラ / メカニカルガンナー / 天地の侵略者・ベルフォメット / マシンブックソーサラー / 極致の創造主・ベルフォメット
ウィッチ,6MBAC,1479641,3,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ
ウィッチ,56M8S,1472403,2,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師
