날짜	직업	등수	참가자	덱코드	대회코드	카드
2026-02-21	ビショップ	1	15	6HVBW	1469482	{'〔月下の悪魔ちゃん♪〕メジロパーマー': 3, '剛健の翼人': 2, '三日月の女神 ツクヨミ': 3, '極炎のドラグーン・ローラ': 3, '絶望の聖女・ジャンヌ': 3, '不思議な青空・アリス': 3, '闇穿つ煌き・サリッサ': 3, 'リボルバーイーグル': 2, 'ルナールの聖騎士': 3, 'ヘイブンファイア': 3, '希望導く聖乙女・ジャンヌ': 3, '迸る光明・アポロン': 3, 'メルティングシュガー・セリーナ': 3, 'デュアルカノンマザー・ラナ': 3}
2026-02-21	ロイヤル	2	15	5WHAL	1469482	{'刹那のクイックブレイダー': 3, '空の指揮官・セリア': 3, 'ナハトの私兵': 3, '辺境の騎士見習い': 3, 'アウトローガンナー': 2, 'アストロウィング・ララミア': 3, '音速の機構・ララミア': 3, '月の刃・リオード': 3, '忠義の剣士・エリカ': 3, '白銀の騎士団長・エミリア': 3, '約束の栄光・ガウェイン': 3, 'カースドクイーン・ナハト・ナハト': 3, '晴天の銀騎士・エミリア': 3, 'ダークセイバー・メリッサ': 2}
2026-02-21	エルフ	3	15	4NL0Y	1469482	
2026-02-21	ナイトメア	4	15	4Q8AU	1469482	{'ストレイホロウ・イルガンノ': 3, 'ソウルガイド・エイミー': 2, '友魂の少女・ルナ': 3, 'デッドペナルティ': 3, '憧れの飛躍・イツルギ': 3, 'ゴールドラッシュゴースト': 2, '死期を視るもの・グレモリー': 3, '幽霊支配人・アーカス': 2, '異形': 3, '大ツルハシの骸': 2, '佰死と佰亡の六銘伝・イルゼ＆ウルゼ': 3, '瞑地の天宮・ムカン': 2, '人外魔境・クリストフ': 3, '奔放なる獄炎・ケルベロス': 3, 'カオスルーラー・アイシィレンドリング': 1, 'ブラックスワン・オディール': 2}
2026-02-21	プリンセスコネクト！Re:Dive	5	15	62KP2	1469482	{'オーロラヒーリング': 3, 'コールオブギルド': 3, 'イリヤ': 1, 'クロエ': 3, 'シェフィ': 3, 'チエル': 3, 'マホ': 2, '真理と実存の共同幻想': 3, 'ダークエクリプス': 3, 'ちぇるちぇる☆かあにばる': 3, 'ユキ': 1, 'いつか、また会う未来で': 3, 'エリス': 3, 'キャル': 3, 'ユニ': 3}
2026-02-21	エルフ	6	15	1A3XS	1469482	{'コッコロ': 3, '深緑の弓使い・アリサ': 3, '小さな勇士・スクナ': 3, 'ピュアクリスタリア・リリィ': 2, '優美な猫姉妹・シャム＆シャマ': 3, '自然の導き': 2, '対空射撃': 3, '爆砕の傭兵・フィーナ': 3, '不思議な青空・アリス': 3, 'マドロスエルフ': 3, 'ロイヤルクリスタリア・ティア': 2, '〔渚の花嫁〕新田美波': 3, 'フロストクリスタリア・エリン': 3, '迸る光明・アポロン': 2, '〔よくばりサニーバカンス〕アナスタシア': 2}
2026-02-21	ドラゴン	7	15	XNPU	1469482	{'朱翼の入学祝': 3, '竜殺しの槍': 2, '炎髄の副会長・テンカ': 3, '彩尾の風紀委員': 3, '大地のドラゴニュート': 2, '暴竜・伊達政宗': 3, '爆炎の咆哮': 1, '竜の託宣': 3, '壊竜の六銘伝・エル': 3, '気高き雷・ロマロニア': 2, '殺竜騎士・ロイ': 3, '竜槍の戦士・ローウェン': 3, '炎柱の竜人': 3, '焦熱の竜翼・ドラーク': 3, '白亜の竜騎士': 3}
2026-02-21	ドラゴン	8	15	78BTS	1469482	{'華麗なる竜人・マリオン': 3, '希望の火 エルモ': 2, '銀氷のドラゴニュート・フィルレイン': 3, 'ツルマルツヨシ': 2, '竜炎の設計士': 3, '風を駆る者・エイファ': 1, '椎名法子': 1, 'シェフィ': 2, 'ストライクドラグーン': 3, 'ドラゴンナイト ネハーレン': 3, 'ファイアーリザード': 3, '原初の竜使い': 2, 'セイウンスカイ': 3, 'ニシノフラワー': 3, 'ダークドラグーン・フォルテ': 2, 'ドラゴニックメイル・ギルヴァ': 3, '覇道の竜翼・フォルテ': 1}
2026-02-21	プリンセスコネクト！Re:Dive	1	13	46856	1470082	{'アオイ': 1, 'アネモネ': 3, 'エリコ': 3, 'コッコロ': 3, 'ユイ': 3, 'ラビリスタ': 3, 'レイ': 3, 'オーロラヒーリング': 2, 'コールオブギルド': 3, 'イリヤ': 2, 'カスミ': 3, 'ネビア': 2, 'マホ': 3, 'ランファ': 3, 'ネフィ＝ネラ': 3}
2026-02-21	ビショップ	2	13	42XPS	1470082	{'剛健の翼人': 3, 'ベルエンジェル・リア': 2, '熟達の翼戦士': 3, '神殿の癒し手': 2, '絶望の聖女・ジャンヌ': 3, '福呼びの狐': 3, '闇穿つ煌き・サリッサ': 3, 'ルナールの聖騎士': 3, 'ルビーファルコン': 2, '鉄拳の神父': 2, '呪われた翼・シロ': 3, 'ブライトパラディン・ウィルバート': 3, 'グランドナイト・ウィルバート': 3, '勇壮の堕天使・オリヴィエ': 2, '聖騎士・ヘクター': 3}
2026-02-21	ロイヤル	3	13	3WBR6	1470082	{'ばーくがる': 3, 'ベルエンジェル・リア': 3, 'ベルエンジェル': 3, '思わぬ躓き': 1, 'タイラントオーダー': 1, '反転する翼': 3, 'フォーリンショット': 3, '天使の泉': 3, 'グランスエンジェル': 3, '恒久の天使': 1, '天界の尖兵': 3, '天使の恩寵': 3, 'カースドクイーン・ナハト・ナハト': 3, 'コラプションガーディアン': 2, 'スパルタクス': 2, '勇壮の堕天使・オリヴィエ': 3}
2026-02-21	エルフ	4	13	4FTVA	1470082	{'宿命の狐火・セッカ': 3, '深緑の弓使い・アリサ': 3, '小さな勇士・スクナ': 3, 'チェシャキャット': 3, 'ベビーカーバンクル': 2, '優美な猫姉妹・シャム＆シャマ': 3, '九尾の決意': 1, '対空射撃': 3, 'アネモネタイガー': 3, '爆砕の傭兵・フィーナ': 3, '不思議な青空・アリス': 3, 'マドロスエルフ': 3, '〔渚の花嫁〕新田美波': 3, 'サルビアパンサー': 3, 'アナスタシア': 1}
2026-02-21	ロイヤル	5	13	7D828	1470082	{'簒奪の従者': 3, 'アヴァリティア': 3, '鮮やかな奪取': 3, '極意たる空絶': 3, 'アサルトバンデッド': 3, 'アルセーヌ・ルパン': 3, '干絶の飢餓・ギルネリーゼ': 2, '空絶の崇拝者': 3, '簒奪の絶傑・オクトリス': 3, '月の刃・リオード': 3, '簒奪の蛇剣': 3, '空絶の簒奪・オクトリス': 3, 'カースドクイーン・ナハト・ナハト': 3, '簒奪の舞': 2}
2026-02-21	ウィッチ	6	13	3DC60	1470082	{'栄光の華・エレノア': 3, 'ジャンピング・ジル': 3, 'ジュエリーマネージャー・フラージュ': 3, 'ダークメタル・バイコーン': 3, 'ベルエンジェル・リア': 2, 'ブリリアントカット': 3, '冥界の催眠術師': 1, '越光の六銘伝・マナ': 3, '干絶の飢餓・ギルネリーゼ': 3, 'ジュエリーアドバイザー': 2, 'ジュエリーバウンサー': 2, 'ダイナマイト・ジャグラー': 3, '迸る光明・アポロン': 3, '密かなる商談': 3, 'マギスの魔導師': 3}
2026-02-21	ナイトメア	7	13	626MN	1470082	{'マンマル1号': 3, 'メカニカルガンナー': 3, '紅のワルツ': 3, '鋼鉄の希望': 3, 'デッドペナルティ': 2, 'ファースト・ワン': 3, '永続の機構・ニコラ': 2, '真紅の抗戦者・モノ': 3, '創出の紫紺・エンネア': 3, 'フロートボードマーセナリー': 3, 'マンマル2号': 3, '禁絶の腕・ニコラ': 3, '悠久の真紅・モノ': 3, '紫紺の抵抗者・エンネア': 1, '絆の共振': 2}
2026-02-21	プリンセスコネクト！Re:Dive	8	13	7Z9K6	1470082	{'オーロラヒーリング': 3, 'コールオブギルド': 3, 'イリヤ': 2, 'クロエ': 3, 'シェフィ': 3, 'チエル': 3, 'マホ': 1, '真理と実存の共同幻想': 2, 'ダークエクリプス': 3, 'ちぇるちぇる☆かあにばる': 3, 'ユキ': 2, 'いつか、また会う未来で': 3, 'エリス': 3, 'キャル': 2, 'サレン': 1, 'ユニ': 3}
2026-02-21	プリンセスコネクト！Re:Dive	1	15	2QQ28	1475787	{'アネモネ': 3, 'エリコ': 3, 'クローチェ': 3, 'コッコロ': 3, 'アメス': 1, 'イノリ': 3, 'ヴルム': 1, 'シェフィ': 3, 'ネビア': 3, 'ムイミ': 3, 'リンド': 1, 'いつか、また会う未来で': 3, 'エリス': 3, 'ホマレ': 3, 'カヤ': 2, 'ライラエル': 2}
2026-02-21	ナイトメア	2	15	3Q8EU	1475787	{'ストレイホロウ・イルガンノ': 3, 'ソウルガイド・エイミー': 2, '友魂の少女・ルナ': 3, 'デッドペナルティ': 3, '憧れの飛躍・イツルギ': 3, 'ゴールドラッシュゴースト': 2, '死期を視るもの・グレモリー': 3, '幽霊支配人・アーカス': 2, '異形': 3, '大ツルハシの骸': 2, '佰死と佰亡の六銘伝・イルゼ＆ウルゼ': 3, '瞑地の天宮・ムカン': 2, '人外魔境・クリストフ': 3, '奔放なる獄炎・ケルベロス': 3, 'カオスルーラー・アイシィレンドリング': 1, 'ブラックスワン・オディール': 2}
