날짜	직업	등수	참가자	덱코드	대회코드	카드
2026-02-21	プリンセスコネクト！Re:Dive	1	13	30KYG	1472532	{'オーロラヒーリング': 3, 'コールオブギルド': 3, 'イリヤ': 1, 'クロエ': 3, 'シェフィ': 3, 'チエル': 3, '真理と実存の共同幻想': 2, 'ダークエクリプス': 3, 'ちぇるちぇる☆かあにばる': 3, 'ペコリーヌ': 2, 'ユキ': 2, 'いつか、また会う未来で': 3, 'エリス': 3, 'キャル': 3, 'ユニ': 3}
2026-02-21	ナイトメア	1	13	4C54G	1472532	{'ストレイホロウ・イルガンノ': 3, 'ソウルガイド・エイミー': 3, '友魂の少女・ルナ': 3, 'デッドペナルティ': 3, '憧れの飛躍・イツルギ': 3, 'ゴールドラッシュゴースト': 3, '死期を視るもの・グレモリー': 3, '異形': 3, '大ツルハシの骸': 2, '佰死と佰亡の六銘伝・イルゼ＆ウルゼ': 3, '瞑地の天宮・ムカン': 2, '人外魔境・クリストフ': 3, '奔放なる獄炎・ケルベロス': 3, 'カオスルーラー・アイシィレンドリング': 1, 'ブラックスワン・オディール': 2}
2026-02-21	ドラゴン	1	13	1FWY4	1472532	{'電爪の帰宅部員': 1, '朱翼の入学祝': 3, '竜殺しの槍': 3, '炎髄の副会長・テンカ': 3, '大地のドラゴニュート': 2, '暴竜・伊達政宗': 3, '竜の託宣': 3, '壊竜の六銘伝・エル': 3, '気高き雷・ロマロニア': 3, '殺竜騎士・ロイ': 2, '竜槍の戦士・ローウェン': 3, '炎柱の竜人': 3, '焦熱の竜翼・ドラーク': 3, '白亜の竜騎士': 3, '覇道の竜翼・フォルテ': 2}
2026-02-21	ウィッチ	2	13	4AWRE	1472532	{'機械兵': 3, 'メカニカルガンナー': 3, '叡智の結実': 3, 'ソニック・フォー': 3, '清澄の蒼・テトラ': 3, 'フロートボードマーセナリー': 3, 'マシンブックソーサラー': 3, '蒼の反逆者・テトラ': 3, '大型機械兵': 2, '結束の魔術': 3, '戦慄の侵略': 3, '極致の創造主・ベルフォメット': 3, '機械神': 1, '天地の侵略者・ベルフォメット': 3, 'アイアロンの支配者・ベルフォメット': 1}
2026-02-21	プリンセスコネクト！Re:Dive	2	13	75BC4	1472532	{'オーロラヒーリング': 3, 'コールオブギルド': 3, 'イリヤ': 1, 'クロエ': 3, 'シェフィ': 3, 'チエル': 3, '真理と実存の共同幻想': 3, 'ダークエクリプス': 3, 'ちぇるちぇる☆かあにばる': 3, 'ユキ': 3, 'いつか、また会う未来で': 3, 'エリス': 3, 'キャル': 3, 'ユニ': 3}
2026-02-21	ドラゴン	2	13	4HATQ	1472532	{'天威のドラグーン': 3, '艶麗なる竜人・マリオン': 3, '干絶の飢餓・ギルネリーゼ': 2, 'ドラゴニックコール': 3, '竜の託宣': 3, '竜巫女の儀式': 1, 'オーブキャンサー': 3, '灼熱のアナテマ・バーンドナイト': 3, '蒼炎のドラゴニュート': 3, '荒波のドラグーン・ザハール': 3, '邪智の竜・ファフニール': 3, '《正義》・イランツァ': 1, 'パンプキンドラゴン': 3, '猛火のティラノサウルス': 3, '竜喰らう禁忌': 3}
2026-02-21	プリンセスコネクト！Re:Dive	3	13	5U0QQ	1472532	{'オーロラヒーリング': 3, 'コールオブギルド': 3, 'イリヤ': 1, 'クロエ': 3, 'シェフィ': 3, 'チエル': 3, 'マホ': 2, '真理と実存の共同幻想': 1, 'ダークエクリプス': 3, 'ちぇるちぇる☆かあにばる': 3, 'ドラゴンズエンドフィスト': 1, 'ユキ': 2, 'いつか、また会う未来で': 3, 'エリス': 3, 'キャル': 1, 'ホマレ': 2, 'ユニ': 3}
2026-02-21	ナイトメア	3	13	11624	1472532	{'マンマル1号': 3, 'メカニカルガンナー': 3, '紅のワルツ': 3, '鋼鉄の希望': 3, 'デッドペナルティ': 2, 'ファースト・ワン': 3, '永続の機構・ニコラ': 2, '真紅の抗戦者・モノ': 3, '創出の紫紺・エンネア': 3, 'フロートボードマーセナリー': 3, 'マンマル2号': 3, '禁絶の腕・ニコラ': 3, '悠久の真紅・モノ': 3, '紫紺の抵抗者・エンネア': 1, '絆の共振': 2}
2026-02-21	エルフ	3	13	5WE80	1472532	{'コッコロ': 2, '深緑の弓使い・アリサ': 3, '小さな勇士・スクナ': 3, 'ピュアクリスタリア・リリィ': 1, '優美な猫姉妹・シャム＆シャマ': 3, '自然の導き': 3, '対空射撃': 3, '爆砕の傭兵・フィーナ': 3, '不思議な青空・アリス': 3, 'マドロスエルフ': 3, 'ロイヤルクリスタリア・ティア': 3, '〔渚の花嫁〕新田美波': 3, 'フロストクリスタリア・エリン': 3, '凍土の女王・ピアシィ': 2, 'アナスタシア': 2}
2026-02-21	エルフ	4	13	1K08G	1472532	{'コッコロ': 3, '深緑の弓使い・アリサ': 3, '小さな勇士・スクナ': 3, 'ピュアクリスタリア・リリィ': 2, '優美な猫姉妹・シャム＆シャマ': 3, '自然の導き': 3, '対空射撃': 3, '爆砕の傭兵・フィーナ': 3, '不思議な青空・アリス': 3, 'マドロスエルフ': 3, 'ロイヤルクリスタリア・ティア': 2, '〔女神は朝焼けの海に〕新田美波': 3, '迸る光明・アポロン': 2, '凍土の女王・ピアシィ': 2, 'アナスタシア': 2}
