날짜	직업	등수	참가자	덱코드	대회코드	카드
2026-02-08	ビショップ	1	27	61PZ2	1457051	{'BP07-086': 2, 'BP07-092': 3, 'BP07-094': 3, 'BP07-097': 3, 'BP07-101': 3, 'BP07-116': 3, 'BP12-086': 3, 'BP12-089': 2, 'BP12-091': 3, 'BP12-096': 3, 'BP17-098': 3, 'BP17-099': 2, 'BP17-106': 3, 'BP17-107': 1, 'BP17-113': 3}
2026-02-08	エルフ	2	27	1FF1J	1457051	{'BP01-015': 2, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP15-004': 2, 'BP16-007': 1, 'BP16-009': 2, 'BP17-001': 3, 'BP18-004': 3, 'BP18-007': 2, 'BP18-019': 3, 'CP02-006': 2, 'CP04-001': 2, 'ECP02-004': 3, 'SP01-045': 3}
2026-02-08	エルフ	3	27	11584	1457051	{'BP01-015': 2, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP15-004': 2, 'BP16-007': 1, 'BP16-009': 2, 'BP17-001': 3, 'BP18-004': 2, 'BP18-007': 2, 'BP18-019': 3, 'CP02-006': 2, 'CP04-001': 3, 'ECP02-004': 3, 'SP01-045': 3}
2026-02-08	プリンセスコネクト！Re:Dive	4	27	6PWGL	1457051	{'CP04-001': 2, 'CP04-003': 3, 'CP04-018': 2, 'CP04-019': 3, 'CP04-039': 3, 'CP04-041': 2, 'CP04-044': 2, 'CP04-047': 3, 'CP04-048': 3, 'CP04-053': 3, 'CP04-054': 3, 'CP04-055': 3, 'CP04-062': 3, 'CP04-091': 2, 'CP04-118': 3}
2026-02-08	ロイヤル	5	27	7N784	1457051	{'BP01-159': 3, 'BP03-109': 2, 'BP03-117': 3, 'BP07-034': 1, 'BP09-020': 3, 'BP09-106': 3, 'BP09-117': 3, 'BP10-114': 3, 'BP11-018': 3, 'BP11-024': 1, 'BP14-108': 3, 'BP14-110': 3, 'BP16-111': 3, 'BP16-117': 3, 'CP03-030': 3}
2026-02-08	ナイトメア	6	27	22YGY	1457051	{'BP01-110': 2, 'BP03-076': 2, 'BP07-076': 3, 'BP09-071': 2, 'BP11-069': 1, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 3, 'BP11-076': 3, 'BP12-071': 2, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 2, 'BP17-073': 3, 'BP17-081': 3}
2026-02-08	プリンセスコネクト！Re:Dive	7	27	67LYC	1457051	{'CP04-003': 3, 'CP04-019': 3, 'CP04-021': 2, 'CP04-073': 3, 'CP04-075': 3, 'CP04-076': 3, 'CP04-077': 3, 'CP04-079': 3, 'CP04-081': 3, 'CP04-083': 3, 'CP04-084': 3, 'CP04-095': 3, 'CP04-111': 2, 'CP04-118': 3}
2026-02-08	ドラゴン	8	27	64DLG	1457051	{'BP02-062': 1, 'BP07-055': 3, 'BP10-054': 2, 'BP11-058': 3, 'BP11-059': 3, 'BP11-062': 3, 'BP11-066': 3, 'BP15-060': 3, 'BP15-074': 3, 'BP15-113': 3, 'BP16-057': 3, 'BP16-067': 3, 'BP16-072': 2, 'BP18-061': 2, 'SD08-011': 3}
2026-02-08	プリンセスコネクト！Re:Dive	1	10	1CBMN	1474939	{'CP04-003': 3, 'CP04-018': 2, 'CP04-019': 2, 'CP04-037': 3, 'CP04-039': 3, 'CP04-041': 2, 'CP04-044': 2, 'CP04-047': 3, 'CP04-048': 3, 'CP04-053': 3, 'CP04-054': 3, 'CP04-055': 3, 'CP04-062': 3, 'CP04-075': 2, 'CP04-118': 3}
2026-02-08	ロイヤル	2	10	2N2E0	1474939	{'BP05-025': 1, 'BP15-021': 3, 'BP15-031': 2, 'BP18-020': 3, 'BP18-022': 3, 'BP18-024': 3, 'BP18-027': 3, 'BP18-028': 3, 'BP18-031': 3, 'BP18-032': 3, 'BP18-117': 3, 'BP18-119': 2, 'BP18-120': 3, 'BP18-123': 3, 'BP18-126': 2}
