날짜	직업	등수	참가자	덱코드	대회코드	카드	에볼브
2026-03-17	ウマ娘 プリティーダービー	1	14	2JY0B	1519521	{'CP01-059': 3, 'CP01-070': 2, 'ECP01-001': 3, 'ECP01-004': 3, 'ECP01-005': 3, 'ECP01-007': 3, 'ECP01-009': 3, 'ECP01-013': 3, 'ECP01-019': 2, 'ECP01-022': 3, 'ECP01-031': 3, 'ECP01-041': 2, 'ECP01-044': 1, 'ECP01-049': 3, 'ECP01-053': 3}	{'ECP01-002': 3, 'ECP01-020': 2, 'ECP01-058': 5}
2026-03-17	ロイヤル	2	14	1FVY8	1519521	{'BP06-019': 3, 'BP07-022': 3, 'BP08-023': 1, 'BP09-018': 3, 'BP11-018': 3, 'BP11-031': 3, 'BP14-024': 3, 'BP15-023': 3, 'BP15-027': 1, 'BP16-019': 3, 'BP16-031': 3, 'BP17-019': 3, 'BP17-022': 2, 'BP18-023': 3, 'SP01-010': 3}	{'BP06-020': 3, 'BP07-023': 1, 'BP09-019': 2, 'BP16-020': 2, 'BP16-032': 2}
2026-03-17	エルフ	3	14	7L8E8	1519521	{'BP02-110': 3, 'BP09-112': 2, 'BP15-004': 3, 'BP18-001': 3, 'BP18-003': 3, 'BP18-005': 3, 'BP18-009': 3, 'BP18-013': 3, 'BP18-014': 2, 'BP18-117': 3, 'BP18-119': 2, 'BP18-120': 3, 'BP18-123': 2, 'BP18-126': 3, 'EBD01-007': 2}	{'BP02-111': 1, 'BP15-005': 1, 'BP18-002': 2, 'BP18-006': 2, 'BP18-010': 1, 'BP18-015': 1, 'BP18-118': 2}
2026-03-17	ナイトメア	4	14	X5PG	1519521	{'BP01-110': 2, 'BP03-076': 2, 'BP07-076': 3, 'BP09-071': 3, 'BP11-069': 1, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 2, 'BP11-076': 3, 'BP12-071': 2, 'BP13-076': 1, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 2, 'BP17-073': 3, 'BP17-081': 2}	{'BP11-070': 1, 'BP11-077': 3, 'BP14-071': 2, 'BP16-080': 2, 'BP18-078': 2}
2026-03-17	ナイトメア	5	14	1VM27	1519521	{'BP01-110': 2, 'BP03-076': 2, 'BP07-076': 3, 'BP09-071': 3, 'BP11-069': 1, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 3, 'BP11-076': 3, 'BP12-071': 2, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 2, 'BP17-073': 3, 'BP17-081': 2}	{'BP11-070': 1, 'BP11-077': 3, 'BP14-071': 2, 'BP16-080': 1, 'BP17-082': 1, 'BP18-078': 2}
2026-03-17	エルフ	6	14	2783M	1519521	{'BP01-015': 3, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP16-007': 1, 'BP16-009': 3, 'BP17-001': 3, 'BP18-004': 3, 'BP18-007': 2, 'BP18-019': 3, 'CP02-006': 2, 'CP04-001': 2, 'ECP02-004': 3, 'SP01-045': 3}	{'BP04-011': 3, 'BP10-006': 3, 'BP16-010': 2, 'CP04-002': 2}
2026-03-17	エルフ	7	14	22N3Q	1519521	{'BP02-110': 2, 'BP15-004': 2, 'BP15-118': 2, 'BP18-001': 3, 'BP18-003': 3, 'BP18-005': 3, 'BP18-009': 2, 'BP18-013': 3, 'BP18-014': 3, 'BP18-116': 1, 'BP18-117': 3, 'BP18-119': 3, 'BP18-120': 3, 'BP18-123': 2, 'BP18-126': 3, 'EBD01-007': 2}	{'BP02-111': 1, 'BP15-005': 1, 'BP18-006': 2, 'BP18-010': 1, 'BP18-015': 2, 'BP18-118': 1, 'BP18-U01': 2}
2026-03-17	ウィッチ	8	14	3EUJ3	1519521	{'BP09-038': 3, 'BP13-036': 3, 'BP13-042': 3, 'BP16-037': 3, 'BP16-045': 3, 'BP16-048': 2, 'BP17-054': 3, 'SP01-020': 3, 'SP01-021': 3, 'PR-364': 3, 'DSD01a-006': 3, 'DSD01a-008': 2, 'DSD01a-009': 3, 'DSD01a-014': 3}	{'BP09-039': 2, 'BP13-039': 2, 'SP01-022': 3, 'PR-294': 3}
2026-03-20	ナイトメア	1	14	56SVD	1499520	{'BP01-110': 2, 'BP03-076': 2, 'BP07-076': 3, 'BP09-071': 2, 'BP11-069': 2, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 3, 'BP11-076': 3, 'BP12-071': 2, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 2, 'BP17-073': 3, 'BP17-081': 2}	{'BP11-070': 2, 'BP11-077': 2, 'BP14-071': 2, 'BP16-080': 2, 'BP18-078': 2}
2026-03-20	エルフ	2	14	6EYBH	1499520	{'BP01-170': 3, 'BP05-109': 3, 'BP07-001': 3, 'BP07-004': 2, 'BP07-007': 3, 'BP07-013': 3, 'BP07-107': 3, 'BP07-112': 3, 'BP10-005': 3, 'BP12-007': 3, 'BP12-103': 3, 'BP13-001': 3, 'BP13-008': 2, 'BP17-002': 3}	{'BP07-002': 3, 'BP10-006': 2, 'BP13-002': 3, 'BP17-003': 2}
