날짜	직업	등수	참가자	덱코드	대회코드	카드	에볼브
2026-03-21	エルフ	1	3	YANK	1518801	{'BP01-015': 2, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP16-007': 1, 'BP16-009': 2, 'BP16-118': 2, 'BP17-001': 3, 'BP18-004': 3, 'BP18-019': 3, 'CP02-006': 2, 'CP02-011': 1, 'CP04-001': 3, 'ECP02-004': 3, 'SP01-045': 3}	{'BP04-011': 3, 'BP10-006': 2, 'BP16-010': 2, 'BP16-119': 2, 'CP04-002': 1}
2026-03-21	プリンセスコネクト！Re:Dive	1	3	46Z63	1518801	{'CP04-003': 3, 'CP04-018': 3, 'CP04-037': 3, 'CP04-039': 3, 'CP04-044': 3, 'CP04-047': 3, 'CP04-048': 3, 'CP04-049': 3, 'CP04-053': 3, 'CP04-054': 3, 'CP04-055': 3, 'CP04-062': 3, 'CP04-073': 1, 'CP04-118': 3}	{'CP04-038': 3, 'CP04-050': 3, 'CP04-056': 3, 'CP04-074': 1}
2026-03-21	ナイトメア	1	3	6VFF9	1518801	{'BP01-110': 2, 'BP03-076': 2, 'BP07-076': 2, 'BP09-071': 3, 'BP11-069': 2, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 3, 'BP11-076': 3, 'BP12-071': 2, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 2, 'BP17-073': 3, 'BP17-081': 3}	{'BP11-070': 2, 'BP11-077': 3, 'BP14-071': 2, 'BP16-080': 2, 'BP18-078': 1}
2026-03-21	ナイトメア	2	3	4BC88	1518801	{'BP01-110': 2, 'BP01-116': 1, 'BP03-076': 2, 'BP07-076': 3, 'BP09-071': 3, 'BP11-069': 2, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 3, 'BP11-076': 3, 'BP12-071': 1, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 3, 'BP17-073': 3}	{'BP11-070': 2, 'BP11-077': 3, 'BP14-071': 2, 'BP16-080': 2, 'BP18-078': 1}
2026-03-21	エルフ	2	3	5C6BU	1518801	{'BP01-015': 2, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP15-004': 2, 'BP16-007': 1, 'BP16-009': 2, 'BP17-001': 3, 'BP18-004': 3, 'BP18-007': 2, 'BP18-019': 3, 'CP02-006': 2, 'CP04-001': 2, 'ECP02-004': 3, 'SP01-045': 3}	{'BP04-011': 3, 'BP10-006': 2, 'BP15-005': 2, 'BP16-010': 1, 'CP04-002': 2}
2026-03-21	プリンセスコネクト！Re:Dive	2	3	7YC8Q	1518801	{'CP04-003': 3, 'CP04-018': 3, 'CP04-037': 3, 'CP04-039': 3, 'CP04-044': 3, 'CP04-047': 3, 'CP04-048': 3, 'CP04-049': 3, 'CP04-053': 3, 'CP04-054': 3, 'CP04-055': 3, 'CP04-062': 3, 'CP04-073': 1, 'CP04-118': 3}	{'CP04-038': 3, 'CP04-050': 3, 'CP04-056': 3, 'CP04-074': 1}
2026-03-21	ナイトメア	3	3	53ZJ6	1518801	{'BP06-084': 3, 'BP07-069': 3, 'BP07-072': 1, 'BP07-075': 3, 'BP07-076': 3, 'BP07-116': 3, 'BP11-075': 2, 'BP12-075': 2, 'BP12-079': 3, 'BP12-082': 3, 'BP17-076': 3, 'BP17-079': 2, 'BP17-080': 3, 'BP17-083': 3, 'BP17-113': 3}	{'BP07-070': 3, 'BP07-077': 3, 'BP17-078': 2, 'BP17-114': 2}
2026-03-21	エルフ	3	3	6QMB1	1518801	{'BP01-015': 3, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP16-007': 1, 'BP16-009': 2, 'BP16-118': 2, 'BP17-001': 3, 'BP18-004': 3, 'BP18-019': 3, 'CP02-006': 2, 'CP02-011': 1, 'CP04-001': 2, 'ECP02-004': 3, 'SP01-045': 3}	{'BP04-011': 3, 'BP10-006': 2, 'BP16-010': 2, 'BP16-119': 2, 'CP04-002': 1}
2026-03-21	ウィッチ	3	3	6N8CX	1518801	{'BP07-035': 3, 'BP07-037': 1, 'BP07-041': 3, 'BP07-103': 1, 'BP07-116': 3, 'BP12-035': 3, 'BP12-041': 2, 'BP12-049': 3, 'BP17-040': 3, 'BP17-041': 3, 'BP17-043': 3, 'BP17-044': 3, 'BP17-048': 3, 'BP17-052': 3, 'BP17-113': 3}	{'BP07-036': 3, 'BP12-036': 3, 'BP17-042': 3, 'BP17-114': 1}
2026-03-21	ウィッチ	1	7	3Z2LE	1518902	{'BP05-042': 3, 'BP16-118': 2, 'BP17-039': 3, 'BP17-051': 3, 'BP18-039': 3, 'BP18-041': 3, 'BP18-045': 3, 'BP18-046': 3, 'BP18-047': 2, 'BP18-050': 3, 'BP18-051': 3, 'CP03-048': 3, 'CP03-052': 3, 'CP03-060': 3}	{'BP05-043': 1, 'BP15-044': 1, 'BP16-119': 2, 'BP18-040': 3, 'BP18-052': 3}
